r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days]
3.0,0.0,17.196077467085647,1.9360445639825405,2.1151204843830844,0.0,-12.97453792328814,11.87605330383524,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.1232837496892074,0.0,-12.983656771581284,11.838708847517172,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.13144701499533,0.0,-12.992604458220876,11.80149497329586,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.139610280301452,0.0,-13.001382625297277,11.764411672399254,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.1477735456075746,0.0,-13.009992902776432,11.727458925259477,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.1559368109136967,0.0,-13.01843690851268,11.690636701728724,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.1641000762198193,0.0,-13.02671624826375,11.653944961292218,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.172263341525942,0.0,-13.034832515708052,11.617383653278422,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.180426606832065,0.0,-13.042787292464066,11.580952717066374,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.1885898721381873,0.0,-13.050582148111843,11.544652082290272,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.196753137444309,0.0,-13.058218640216491,11.50848166904122,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.2049164027504315,0.0,-13.065698314353645,11.472441388066256,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.213079668056554,0.0,-13.073022704136804,11.436531140964604,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.2212429333626766,0.0,-13.080193331246514,11.400750820381209,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.229406198668799,0.0,-13.087211705461312,11.365100310197525,0.0,250.0
3.0,0.0,17.196077467085647,1.9360445639825405,2.2375694639749213,0.0,-13.094079324690393,11.329579485719664,0.0,250.0
