start_pos_x,start_pos_y,start_pos_z,rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v
-280372.31,250447.87,744045.28,63010.39,157951.09,152236.74,8.6,30887.76
-188778.57,882794.77,77720.73,222355.37,366756.56,916956.93,4.33,29601.91
-517582.63,195530.98,309103.89,110612.68,-443145.53,161718.44,949.46,35466.58
-769633.76,251815.74,-846291.17,-662805.29,821225.09,50734.41,6.77,26037.88
-63613.49,-366073.61,176492.97,-230049.77,552969.39,-427556.92,827.24,44023.19
231837.36,518264.59,307039.43,210802.9,-42520.93,742104.53,7.38,35108.37
-272740.32,-241368.59,-753255.8,732431.66,898313,315253.24,8.61,30831.22
688996.95,-466407.22,-754748.72,-866145.96,568032.66,-985467.22,28.77,26620.74
-819163.08,478736.38,-534116.96,623843.87,212390.76,-897883.59,0.74,26844.51
-597406.46,-907367.65,-604121.66,-535835.95,531209.99,-779245.22,12.41,25289.64
666904.99,54073.06,-217528.46,-275748.88,-61210.69,-287226.33,977.29,33661.56
507980.66,131198.23,-395385.07,-93554.03,-29325.94,-242121.37,895.12,34835.3
-573721.92,951849.2,144116.99,-578006.58,71803.62,584362.34,20.78,26647.71
-50161.49,717817.92,756211.49,432716.32,521634.71,-175576.23,4.03,27567.8
-189220.48,672814.32,-103797.78,31623.19,-155238.75,71650.07,890.1,33589.64
825844.01,-991110.51,-129845.32,384117.8,-341635.06,200527.1,3.65,24715.59
112742.42,108574.05,594704.68,-63080.11,82768.25,97250.5,828.11,36005.09
208779.58,316104.07,-712720.49,173762.2,846851.56,-459619.35,7.87,31389.42
-428880.34,650451.05,-161896.66,490277.48,-303566.12,282263.46,950.19,31651.61
-26502.13,766992.54,521793.02,-424083.71,-343848.38,530461.45,9.66,29273.56
-908363.04,146030.1,-785008.21,122981.28,-212973.15,-647191.65,8.83,25631.12
275819.97,-830424.78,-486425.56,899106.91,-516875.05,-44218.59,6.82,28172.06
219683.86,-884611.01,-685510.56,-747707.79,942531.87,870158.37,17.42,26411.98
-574154.39,-619725.33,912538.95,914907.02,248441.09,598913.81,24.46,25297.11
-828375.99,138101.73,-137504.55,-919398.86,-995268.89,-895388.65,26.66,30589.76
-941592.58,963212.74,974224.41,255104.12,508806.42,-529875.66,4.3,21817.08
-15676.12,-453480.04,-208231.12,230640.36,301282.31,4252.73,936.14,39960.11
-27473.22,-83286.53,-360460.24,-40097.58,-3606.27,341626.08,451.09,46356.78
141732.37,-772020.58,-237032.22,971044.43,-858360.05,-145358.5,19.84,31160.7
305569.67,97225.29,418155.95,115299.59,106484.19,18474.67,731.62,38895.57
116583.77,-59409.27,576641.87,-409156.95,372722.29,-492495.99,932.3,36718.25
823137.18,888787.39,-104821.78,232709.52,-475930.52,-183938.83,15.47,25575.58
736698.18,559908.15,856176.37,65799.19,198600.56,32092.06,13.76,25114.25
-90252.44,333510.3,-390499.17,414260.22,-900282.82,711740.97,0.68,38944.83
124000.99,-146110.66,-114786.85,169428.74,365319.09,-173315.77,505.36,59739.12
17528.23,655600.48,281203.64,802828.48,43116.73,750241.77,10.36,33394.63
-475721.5,-472128.42,-492772.61,127380.5,665676,-534762.13,5.08,30904.82
839221.58,383091.27,3057.61,-262911,878888.28,-153380.06,4.79,29339.85
781899.13,829439.53,-417103.23,397320.96,-663095.66,-685807.41,0.24,25144.73
922352.41,-789369.14,-41584.72,-171321.55,668906.77,477271.16,4.37,25548.92
-392108.07,291552.18,719137.58,-112966.68,672671.29,899171.94,4.36,30222.27
212203.54,403695.15,-470540.05,-428855.2,-77156.14,551531.21,917.09,34879.4
956601.1,937577.87,-150364.22,124913.42,447653.69,-487488.1,24.6,24296.87
-373634.59,-517911.83,753363.7,332556.44,-77252.76,-434880.91,2.31,28316.02
27418.32,-638186.85,74400.25,-16801.41,333865.89,65043.34,864.87,35208.63
877635.75,-690674.52,-971525.53,-480909.2,-943675.94,-756177.78,25.52,23183.4
306472.2,40822.2,-283574.85,-525217.68,761440.48,975255.37,8.35,43565.19
230889.44,832345.44,-867633.52,-903007.37,882033.66,956704.37,3.93,25443.38
-964523.46,-901286.76,762798.17,614391.37,72703.18,134571.63,8.26,22816.1
-660553.2,-719095.35,96084.13,393908.39,-769543.45,-512207.82,11.37,28471.89
-831669.42,694838.8,939031.32,295465.03,104991.89,954272.16,5.72,23515.75
-318979.88,-63048.42,240713.21,-61838.7,39981.07,-488644.96,950.73,44391.07
-1978.68,-40417.97,-900413.94,-424698.38,995476.99,753548.87,11.04,29708.17
836371.35,240422.18,597475.19,992729.56,609211.72,-330.61,17.25,27455.35
517840.06,246567.38,936090.28,-275121.77,-678861.45,976831.06,22.31,26925.33
135416.82,-337036.49,-90114.77,44288.3,64284.23,503538.82,743.87,46154.42
716508.16,141202.98,452906.24,804778.84,-111890.1,23291.37,16.15,30433.94
-78333.62,-876717.35,77169,-396865.34,-619808.59,976110.9,8.12,29998.3
