r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.812514193,-33.96097812,550.6366597,2.810389247,0.031545394,4.27E-05,-40.28892272,551.5817858,1.495962575,2.951864154,2407.761666,2403.860646
2.80958969,-34.14975516,552.667794,2.807453933,0.031659515,4.43E-05,-40.47797729,553.5347864,1.554290873,2.951864154,2401.910137,2398.009121
2.80665224,-34.26377065,554.5761231,2.804509889,0.031765115,4.65E-05,-40.59428316,555.3098827,1.632818974,2.951864154,2396.058615,2392.157604
2.803707914,-34.31149855,556.2669189,2.801562768,0.031855275,4.94E-05,-40.64346608,556.7561326,1.734594755,2.951864154,2390.207102,2386.306104
2.800762055,-34.30030097,557.5470393,2.798617939,0.03191557,5.21E-05,-40.61454986,557.5550403,1.822827212,2.951864154,2384.355613,2380.454649
2.797820209,-34.21083071,558.0121514,2.795684017,0.031918025,4.85E-05,-40.41279456,557.1452218,1.657602577,2.951864154,2378.504184,2374.603304
2.794893684,-33.91480335,557.1044357,2.792781614,0.031840896,2.84E-05,-39.85931745,555.4014155,0.918869502,2.951864154,2372.652881,2368.75202
2.792007177,-33.28116895,555.082404,2.789937389,0.031717007,6.53E-06,-39.0263047,553.1337312,0.181076482,2.951864154,2366.801571,2362.900635
2.789184942,-32.44781718,552.7633246,2.787165506,0.031584167,-6.21E-06,-38.1072659,550.8191906,-0.242461493,2.951864154,2360.950154,2357.049173
2.786436734,-31.5729848,550.449576,2.784468268,0.031452958,-1.33E-05,-37.20429484,548.5488105,-0.480440557,2.951864154,2355.098676,2351.197675
2.783762487,-30.73199581,548.1845685,2.781842257,0.031324481,-1.77E-05,-36.36139183,546.3240178,-0.627646129,2.951864154,2349.247171,2345.346159
2.781157683,-29.9586735,545.9625944,2.77928142,0.031198231,-2.06E-05,-35.59931171,544.1339813,-0.727174612,2.951864154,2343.395651,2339.494632
2.778615723,-29.269835,543.7728382,2.776778371,0.031073615,-2.27E-05,-34.92902874,541.9689508,-0.799285104,2.951864154,2337.544121,2333.643098
2.776128924,-28.67474246,541.6065344,2.774324986,0.030950181,-2.43E-05,-34.35690382,539.8218884,-0.85442171,2.951864154,2331.692585,2327.791559
2.773688983,-28.17891691,539.4575446,2.771912694,0.030827619,-2.56E-05,-33.8868817,537.6881085,-0.898445108,2.951864154,2325.841045,2321.940016
2.771287219,-27.78583976,537.3218682,2.76953264,0.030705734,-2.67E-05,-33.52152461,535.5647106,-0.934880429,2.951864154,2319.989501,2316.088471
2.768914706,-27.49778609,535.197105,2.767175787,0.03058441,-2.76E-05,-33.26254455,533.4501048,-0.965961336,2.951864154,2314.137955,2310.236923
